Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
81,Black Hawk,Mt Vernon,"NORTH CEDAR ELEMENTARY, LUNCHROOM",2419 FERN AVE,CEDAR FALLS,50613,8aVC8NVi,ejj90MI5,0,0,0,0,0,0,0,0
82,Black Hawk,Poyner P1 & East Wloo,"WATERLOO EXPO ALTERNATIVE HIGH SCHOOL, CAFETERIA",1410 INDEPENDENCE AVE,WATERLOO,50703,r7JV1F6h,10e0CdMB,0,0,0,0,0,0,0,0
83,Black Hawk,Poyner P2 Fox Gilbert Jesup,WATERLOO CENTER FOR THE ARTS - SCHOITZ ROOM 3,225 COMMERCIAL ST,WATERLOO,50701,jtXw5UoP,uD3y0SpE,0,0,0,0,0,0,0,0
84,Black Hawk,Spring Creek,LAPORTE CITY ELEMENTARY - LIBRARY,515 FILLMORE ST,LAPORTE CITY,50651,cKtaG8qQ,ZNrd59jZ,0,0,0,0,0,0,0,0
85,Black Hawk,Union,HANSEN ELEMENTARY SCHOOL MUSIC ROOM,616 HOLMES DR,CEDAR FALLS,50613,RRVAxgqz,FVRvDO7p,0,0,0,0,0,0,0,0
86,Black Hawk,WL 1-1,FRED BECKER ELEMENTARY SCHOOL - GYM,1239 SHELDON ST,WATERLOO,50701,0yEKgQgI,NojUUuoz,0,0,0,0,0,0,0,0
87,Black Hawk,WL 1-2,"TEMPORARY LOWELL SCHOOL (FORMER AEA), GYM",3712 CEDAR HEIGHTS DR,WATERLOO,50702,SZg1UFBk,vVebXFPK,0,0,0,0,0,0,0,0
88,Black Hawk,WL 1-3,IRVING ELEMENTARY SCHOOL - GYM,1115 W 5TH ST,WATERLOO,50702,tSkwBH8l,thefragV,0,0,0,0,0,0,0,0
89,Black Hawk,WL 1-4,CENTRAL MIDDLE SCHOOL - AUDITORIUM ,1350 KATOSKI DR,WATERLOO,50701,7WJeJXMc,tlJWuSO8,0,0,0,0,0,0,0,0
90,Black Hawk,WL 1-5,FRED BECKER ELEMENTARY SCHOOL - LUNCHROOM,1239 SHELDON ST,WATERLOO,50701,5NN26ihR,Ef2pTFL4,0,0,0,0,0,0,0,0
91,Black Hawk,WL 1-6,LOU HENRY ELEMENTARY - GYM,312 RACHAEL ST,WATERLOO,50701,AIYOY2TH,NZJQXmWb,0,0,0,0,0,0,0,0
92,Black Hawk,WL 2-1,ORANGE ELEMENTARY SCHOOL LUNCHROOM,5805 KIMBALL AVE,WATERLOO,50701,X45umRJ3,4pHMLADS,0,0,0,0,0,0,0,0
93,Black Hawk,WL 2-2,KITTRELL ELEMENTARY SCHOOL LUNCHROOM,1304 OREGON ST,WATERLOO,50702,kLZuIM9t,eNUXLop6,0,0,0,0,0,0,0,0
94,Black Hawk,WL 2-3,KITTRELL ELEMENTARY SCHOOL GYM,1304 OREGON ST,WATERLOO,50702,1lnJUCQ2,qDdOi8Kl,0,0,0,0,0,0,0,0
95,Black Hawk,WL 2-4,UAW LOCAL 838,2615 WASHINGTON ST,WATERLOO,50702,9xFROiXm,kAtgGl0n,0,0,0,0,0,0,0,0
96,Black Hawk,WL 2-5,ORANGE ELEMENTARY SCHOOL GYM,5805 KIMBALL AVE,WATERLOO,50701,fKNm1JPB,zcmPIfs7,0,0,0,0,0,0,0,0
97,Black Hawk,WL 2-6,LOU HENRY ELEMENTARY - LUNCHROOM,312 RACHAEL ST,WATERLOO,50701,zBBsTfB1,YaHq8tq6,0,0,0,0,0,0,0,0
98,Black Hawk,WL 3-1,WATERLOO EAST HIGH SCHOOL UPPER GYM,214 HIGH ST,WATERLOO,50703,78OtLKvO,0Xye3stg,0,0,0,0,0,0,0,0
99,Black Hawk,WL 3-2,WATERLOO LINCOLN ELEMENTARY GYM,302 CEDAR BEND ST,WATERLOO,50703,VByJiwXe,4vWSXGjE,0,0,0,0,0,0,0,0
100,Black Hawk,WL 3-3,GREENBRIAR CONFERENCE CENTER - LARGE MEETING ROOM,1554 OAKWOOD DR. ,WATERLOO,50702,IQTHPljQ,9mi1Mknl,0,0,0,0,0,0,0,0
101,Black Hawk,WL 3-4,WATERLOO LINCOLN ELEMENTARY - LUNCHROOM,302 CEDAR BEND ST ,WATERLOO,50703,qzYkEM0f,7g6cE0Tb,0,0,0,0,0,0,0,0
102,Black Hawk,WL 3-5,CENTRAL MIDDLE SCHOOL - GYM,1350 KATOSKI DR,WATERLOO,50701,9TgdpzTB,DFH97gjO,0,0,0,0,0,0,0,0
103,Black Hawk,WL 3-6,CENTRAL MIDDLE SCHOOL - LIBRARY,1350 KATOSKI DR,WATERLOO,50701,ySTTFPtu,T15ifInO,0,0,0,0,0,0,0,0
104,Black Hawk,WL 4-1,WATERLOO EXPO ALT. SCHOOL GYM,1410 INDEPENDENCE AVE,WATERLOO,50703,NAdoujLE,dxoaQXNR,0,0,0,0,0,0,0,0
105,Black Hawk,WL 4-2,WATERLOO EAST HIGH SCHOOL AUDITORIUM,214 HIGH ST,WATERLOO,50703,Hzy6BMx9,62yXSH8Z,0,0,0,0,0,0,0,0
106,Black Hawk,WL 4-3,WATERLOO CENTER FOR THE ARTS - SCHOITZ ROOM 1,225 COMMERCIAL ST,WATERLOO,50703,cL7zaZ2v,BTsMw0DD,0,0,0,0,0,0,0,0
107,Black Hawk,WL 4-4,WATERLO EXPO ALT. SCHOOL AUDITORIUM,1410 INDEPENDENCE AVE,WATERLOO,50703,d31hN5Lg,gR6iYYWi,0,0,0,0,0,0,0,0
108,Black Hawk,WL 4-5,CUNNINGHAM ELEMENTARY- LUNCHROOM/GYM,1224 MOBILE ST,WATERLOO,50703,syN1p1es,vY4duClU,0,0,0,0,0,0,0,0
109,Black Hawk,WL 4-6,HIGHLAND ELEMENTARY - GYM,812 IDAHO ST,WATERLOO,50703,p9kChtJi,BkpYOCK4,0,0,0,0,0,0,0,0
110,Black Hawk,WL 5-1,KINGSLEY ELEMENTARY - LUNCHROOM,201 SUNSET RD,WATERLOO,50701,XttDHIdc,sMviorSf,0,0,0,0,0,0,0,0
